Metric,state_fips,county_fips,Avalanche,Coastal Flooding,Cold Wave,Drought,Earthquake,Hail,Heat Wave,Hurricane,Ice Storm,Landslide,Lightning,Riverine Flooding,Strong Wind,Tornado,Tsunami,Volcanic Activity,Wildfire,Winter Weather,National Risk Index,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),job_density_2013,ann_avg_job_growth_2004_2013,ln_wage_growth_hs_grad,emp2000,foreign_share2010,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,hhinc_mean2000,med_hhinc2016,poor_share2000,poor_share2010,share_white2000,share_black2000,share_hisp2000,share_asian2000,share_white2010,share_black2010,share_hisp2010,share_asian2010,ZHVI_mean,ZHVI_trend,ZHVI_vol
count,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3071.0,2405.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3073.0,3050.0,3073.0,3073.0,3073.0,3059.0,3005.0,1054.0,2988.0
mean,30.279856817442237,103.36641718190693,3.2300558211719945,7.867445479908413,46.3512064423661,49.28082063778629,50.59584680298752,50.32755293065474,49.25402541756489,36.17336307470805,48.238358504028014,50.18434080066283,50.39092716443839,50.805445890376284,50.62252813316935,50.854035522717496,1.0206594489054626,1.2932500173676493,49.966987418981475,50.10245444424301,50.86518639295647,107670.22616335828,20106465191.079727,143783871.99251544,1079.366759424123,126.88102568292483,-0.002464769536942201,0.07493078908666306,0.5750353690986008,0.043652443214751056,24.510058394598115,0.16676558162316954,0.1908415617839245,65276.611891962246,48999.900218473405,0.13956570836153595,0.1553227998708103,0.8193374747025708,0.08864754660988285,0.06058508915725675,0.007259480049836066,0.7869372847286039,0.09407944665404164,0.08236213274090466,0.009540710816374634,138742.55988380872,0.4775200187200578,0.01647822958645292
std,15.063746092312524,107.77989454764847,14.412471468811166,21.809220814020524,33.456453721931865,30.498123725106495,28.676058918664523,28.77080520587999,30.869760161704207,33.25635358351114,29.92614821311585,28.879399928022384,28.774111227236727,28.580484970251906,28.71329985331104,28.58310961702305,8.445522813518933,9.493764321626406,28.889265071034373,28.802532220380204,28.56350093336676,338916.44992233824,56262629181.9065,287914705.96169215,2321.6577545535847,871.8753841956855,0.014370700444817577,0.1378940817502764,0.07495000595236787,0.05435956153683715,5.556343766300656,0.07981880487817757,0.08753932447900183,15279.132709080932,13353.254374671491,0.06362125937638789,0.06233595658613608,0.1820759217589077,0.14285014231098872,0.11670895393695785,0.019128656356473026,0.1926761846446832,0.14576009663308614,0.1299400275520729,0.02150512278402116,80068.204021969,0.29629218319539513,0.006075128888660426
min,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159083678014636,0.0,0.0,0.095450206808781,0.0,0.095450206808781,399.0,129633110.0,0.0,2.06711466,0.042527568,-0.057315279,-0.7158016,0.24060388,0.0,7.6693206,0.050143432,0.037254088,35415.605,20170.89137542687,0.021488125,0.010894374,0.019862361,0.0,0.00082034455,0.0,0.028604077,0.0,0.001310616,0.0,24942.83933077931,-0.3142396975841985,0.0028575355066806
25%,19.0,35.0,0.0,0.0,0.0,25.1670378619154,25.9306395163856,25.3897550111359,26.0579064587973,0.0,22.2518321119254,25.377449405718,25.7078507078507,26.3124403436207,25.771555838371,26.3442570792237,0.0,0.0,24.9761374482978,25.3579382755329,26.3124403436207,11567.0,2634174577.0,24800913.0,448.50667446,7.5863662,-0.010758015,0.0061221491,0.52846479,0.011977285,20.527283,0.11230362,0.13102767,55372.559,40108.15349740932,0.093981311,0.11005549,0.71975321,0.0041149962,0.0092697553,0.0017045304250000001,0.67346263,0.0071885586,0.016088592,0.00242528855,91076.5270403886,0.2811722017939591,0.0123131684737824
50%,29.0,79.0,0.0,0.0,49.9840916321985,50.65224307986,50.65224307986,50.1431753102132,51.0022271714922,30.8209959623149,48.1678880746169,50.2088017989078,50.5148005148005,50.9704104358893,50.8113267578746,51.097677378301,0.0,0.0,49.761374482978,50.1113585746102,51.0658606426981,26694.0,5895912843.0,73020253.0,650.50906362,19.111149,-0.0030584012,0.067448825,0.58074093,0.024235405,24.013674,0.14540593,0.1686662,61707.5,47151.711820087,0.12786156,0.14801028,0.89415246,0.020237772,0.017965203,0.0029481444499999997,0.85837454,0.025323475,0.033007756,0.0040432583,119370.23294617528,0.4446822886345926,0.015114618377640651
75%,45.0,133.0,0.0,0.0,74.8647788736876,75.3738466433344,75.4692968501432,75.3420299077315,75.564747056952,65.5002243158367,74.1172551632245,75.2971410215226,75.2574002574002,75.532930321349,75.532930321349,75.564747056952,0.0,0.0,75.0238625517022,74.9920458160993,75.564747056952,70351.0,14549024511.0,170888705.0,980.55593922,52.021152,0.0051844644,0.13429849,0.62738097,0.052920673,27.898643,0.19600727,0.22622184,71037.531,54673.26471710108,0.17297313,0.19070992,0.95943642,0.10233361,0.050937165,0.0060033731,0.94191712,0.10969582,0.081897676,0.00816416695,162118.5325052861,0.6279848313842892,0.019124542344117874
max,56.0,840.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10005712.0,1517716327871.0,6586833560.0,95785.24136883,36663.16,0.12167225,0.88931775,0.83654273,0.51265585,46.063763,0.63707107,0.71074045,146194.69,129150.3429360025,0.50760746,0.43237746,0.99277985,0.85861373,0.97582483,0.45495939,0.98907769,0.85671759,0.95744777,0.42761454,1173602.2820432405,2.2580917288720985,0.0524591739566777
